channel,class,human_msgs,bot_msgs,threads,members,first,last,top_people,storage_links,signal_flags,purpose
thrift_finds,noise/internal-ops,46,0,3,16,2026-04-08,2026-07-22,"Rachel Gunderson, Arin Seeger, Eleni A, Heidi Boaz",,,
gerbig-all,client-account,43,0,7,8,2026-01-08,2026-07-15,"Evan Wilberg, Kate Berstene, Zander Tsadwa, Emma Noriega","GDocs(3), Accelo(3)",proposal:1; kickoff:4,This channel includes all teams working on Gerbig Cleanrooms
anderson-chemical-web-build,client-web-build,42,1,3,7,2026-03-03,2026-07-21,"Kerri Graber, Paul Patane, Jasper Tung, Lauren C","Figma(2), Accelo(2)",,
client_bark_rocket55,client-shared,42,0,1,0,2026-02-24,2026-06-13,"U029L663Y91, U04VD7F30TC, Devon Gjebre, UEQ163J13",GDocs(2),process:4; kickoff:2,
mpa,client-single,42,1,4,7,2026-01-14,2026-07-16,"Courtney Stageberg, Emma Pavleck, Carter S, Jason Goldenberg","GDocs(10), Accelo(4)",proposal:1,
bkv,client-single,39,2,2,5,2026-06-17,2026-06-25,"Benito Speridon, Kerri Graber, Zac Forsman, Eleni A",,kickoff:4,
FC:F099E965KEF:Help requests tracker,overview-doc,38,0,6,0,2025-08-08,2026-01-14,"USLACKBOT, Pierre Balian, Kate Berstene, Zac Forsman",,,
show-entries-2025,noise/internal-ops,38,1,3,0,2026-01-05,2026-02-19,"David Lovett, Veronica Snyder (Johnson), Jennifer Kohnhorst, USLACKBOT",,,
f1,noise/internal-ops,37,0,6,7,2026-02-10,2026-07-02,"Paul Patane, Jason Goldenberg, Jasper Tung, Kate Berstene",,,Speedy Racecars
nirvana66,noise/internal-ops,36,1,0,8,2026-04-09,2026-04-30,"Emma Noriega, Cori A, Jeannie Ayres, Roslyn Cashman",Accelo(1),process:1,
sf-herb-co-all,client-account,36,2,2,7,2026-01-05,2026-07-23,"Emma Noriega, Kiley Moore, Marisa Malahowski, Courtney Stageberg","GDocs(10), Accelo(4)",,
amazon_content_design,client-single,34,1,2,2,2026-01-19,2026-02-11,"Paige DeRoma, Robert Portnoy, Roslyn Cashman, Lauren C","GDocs(2), Figma(2), GDrive(1)",template:1; process:1,
security-studio,noise/internal-ops,34,1,0,8,2026-06-11,2026-07-23,"Rachel Gunderson, Rachel LaBerge, Zander Tsadwa, Tyler Hetland",GDocs(2),sow:1; contract:1; renewal:1; kickoff:1,
eaglemaster,client-single,32,0,3,6,2026-01-28,2026-07-16,"Kate Berstene, Steven Tondi, Tony Notermann, Rachel Gunderson","GDocs(6), Accelo(1)",process:1,
redline-productivity-all,client-account,32,0,4,6,2026-01-12,2026-07-16,"Steven Tondi, Evan Wilberg, Courtney Stageberg, Zander Tsadwa","GDocs(6), Accelo(6)",,
amira-website-build,client-single,31,0,2,7,2026-01-29,2026-07-08,"Zander Tsadwa, Pierre Balian, Jasper Tung, Eleni A",Figma(1),,
preceptis-recurring,client-retainer,30,0,2,5,2026-01-14,2026-05-15,"Kate Berstene, Devon Gjebre, Joe Kerlin, Jason Goldenberg",GDocs(3),,
pd-ada,client-single,27,2,1,3,2026-01-19,2026-02-27,"Jasper Tung, Pierre Balian, Casey MacLeod, Benito Speridon",,process:1,
r55-ic-system-hubspot,client-hubspot/MA,26,1,2,6,2026-02-12,2026-02-19,"U08RWCECC07, U02LYD76JB0, U022WGQHLH4, U07BUJ5U659","GDocs(1), HubSpot(1)",,
soccer-realfootball-fansunite,noise/internal-ops,25,0,1,5,2026-02-02,2026-04-09,"Joe Kerlin, Kiley Moore, Reed Langton-Yanowitz, Ben Lohrding",,,A place to discuss anything/everything about the World's game.
stellar-kent-all,client-account,24,0,4,8,2026-01-14,2026-07-23,"Kaitlyn Benson, Noah Schmidt, Kerri Graber, Carter S",,,
usc-hrsm,client-single,23,1,2,0,2026-01-06,2026-03-02,"Kaitlyn Benson, Devon Gjebre, Carolina Sewald, Ellie Nordin",,,
FC:F0A87VC2B1N:The Show 2026 (2025 Entries),overview-doc,21,0,2,0,2026-01-07,2026-01-16,"Veronica Snyder (Johnson), USLACKBOT, Jennifer Kohnhorst","GDocs(2), GDrive(1)",,
meatball-sandwich-club,noise/internal-ops,20,0,2,12,2026-03-05,2026-07-22,"Paul Patane, Tony Notermann, Eleni A, Joe Kerlin",,,"Give me meatballs, or give me death."
in-office-meetings,noise/internal-ops,19,0,2,8,2026-01-06,2026-05-04,"Megan Terwilliger, Rachel Gunderson, Kate Berstene, SJ Sajwani",,,
prospect-us-safteygear,prospect,19,1,0,2,2026-02-04,2026-02-06,"Jake, Ben Wachholz, Paige DeRoma, Ben Lohrding",Beautiful.ai(1),,
verification-codes,noise/internal-ops,18,142,1,55,2026-01-02,2026-07-23,"Kaitlyn Benson, Benito Speridon, Pierre Balian, Brody Howard",,,
longevity-strategists-web,client-web-build,14,2,0,0,2026-01-05,2026-01-26,"Kerri Graber, Pierre Balian, Brody Howard, Zander Tsadwa",,proposal:1; kickoff:1,
total-vis-web,client-web-build,14,0,1,0,2026-01-12,2026-04-06,"Nelson Fox, Kerri Graber, Jake",,kickoff:1,
viaphoton,client-single,11,1,0,4,2026-04-28,2026-05-04,"Kaitlyn Benson, Sara Dziedzic, Tyler Hetland, Joe Kerlin",,,
FC:F0BHX39B3A6:Weekly Pod Meeting,overview-doc,10,0,0,0,2026-07-20,2026-07-20,Emma Noriega,Accelo(1),,
anderson_manufacturing,client-single,10,0,1,6,2026-01-08,2026-07-16,"Sara Dziedzic, Jason Goldenberg, Kaitlyn Benson, Evan Wilberg",,process:1,
mhub,client-single,10,1,0,4,2026-04-29,2026-05-01,"Kaitlyn Benson, Devon Gjebre, Aaron L, Tyler Hetland",,,
r55-mpls-women,noise/internal-ops,10,0,1,22,2026-04-06,2026-07-23,"Miriam Cooper, Elizabeth M, Eleni A, Jill Fulton",,,
hometown-exteriors-web,client-web-build,9,1,0,3,2026-01-08,2026-04-07,"Alex Samion, USLACKBOT, Morgan May, Zac Forsman",,,
skywater-tech-web,client-web-build,9,2,0,0,2026-04-14,2026-07-02,"Jill Fulton, Kerri Graber, USLACKBOT, Eleni A",,,
FC:F08Q3G6KLPR:Upcoming OOO,overview-doc,8,0,0,0,2025-06-03,2026-01-15_file_shares,"USLACKBOT, Alex Samion, Christine Maness, Steven Tondi",GDocs(3),,
FC:F0B3ARS4QH4:Snap Fitness,overview-doc,8,0,0,0,2026-05-12,2026-06-26_file_shares,Veronica Snyder (Johnson),"GDocs(2), GDrive(2)",,
FC:F0A812S966M:Channel Overview,overview-doc,7,0,0,0,2026-01-08,2026-04-22_file_shares,"Alex Samion, Kerri Graber","GDocs(4), GDrive(1), Beautiful.ai(1)",,
FC:F0AJ50J02SY:Upcoming Clients & Work :balance:,overview-doc,7,0,0,0,2026-03-02,2026-03-19,"Devon Gjebre, Carolina Sewald, USLACKBOT",GDrive(1),,
larson-engineering,client-single,7,1,0,2,2026-03-18,2026-04-01,"Morgan May, Alex Samion, Casey MacLeod, Jasper Tung",,kickoff:1,
rocket55marketing,noise/internal-ops,7,1,0,7,2026-04-30,2026-07-22,"Cori A, Elizabeth M, Paul Patane, Emma Noriega",,,
sewing-down-south,client-single,7,1,0,0,2026-01-23,2026-03-02,"Carolina Sewald, Devon Gjebre, Kaitlyn Benson, Jake",,,
toppan-admin,client-admin(internal),7,0,0,6,2026-01-05,2026-04-01,"Sara Dziedzic, Kaitlyn Benson, Tyler Hetland, Rachel Gunderson",,,
FC:F0A6PRMDRRR:Resources,overview-doc,6,0,0,0,2026-01-07,2026-05-07_file_shares,"Paige DeRoma, Emma Noriega","Notion(1), GDocs(1)",,
accelo-help,noise/internal-ops,6,0,0,23,2026-03-09,2026-05-18,"Jennifer Kohnhorst, Roslyn Cashman, Sam Kirchoff, Elizabeth M",,,
keyword-research-hall-of-fame,noise/internal-ops,6,0,1,5,2026-02-04,2026-04-08,"Marisa Malahowski, Paul Patane, Emma Noriega, Sam Kirchoff",,,
tier1-all,client-account,6,0,1,0,2026-01-08,2026-07-15,"Rachel Gunderson, Ellie Nordin, Devon Gjebre, Kerri Graber",,,
C0AT03WMTGT--atwell-marketing-hub,client-single,5,1,0,3,2026-04-15,2026-04-16,"U07BUJ5U659, U09AKRLGTRC, USLACKBOT, Jennifer Kohnhorst",,,
FC:F09DHUWTYF6:Atwell Overview,overview-doc,5,0,0,0,2026-01-26,2026-04-20,"Kate Berstene, Paige DeRoma","Beautiful.ai(1), SharePoint(1)",renewal:1,
FC:F0A7SLVFV8X:Donations & Aid Resources,overview-doc,5,0,0,0,2026-01-12,2026-01-22,"Veronica Snyder (Johnson), Joe Kerlin, Emma Pavleck",,,
FC:F0AQGEVSQ0Z:Transition List (who do I need to meet with),overview-doc,5,0,0,0,2026-03-31,2026-03-31,Emma Noriega,,,
homes-for-heroes-all,client-account,5,0,0,0,2026-01-15,2026-03-20,"Courtney Stageberg, Jason Goldenberg, Ben Wachholz, Paul Patane","Accelo(1), GDocs(1)",,
tier1-performance-web,client-web-build,5,0,0,0,2026-01-06,2026-01-29,"Joe Kerlin, Kerri Graber",,,
ux-analytics-gang,noise/internal-ops,5,0,0,2,2026-01-07,2026-03-12,"Heidi Boaz, Morgan May, Brody Howard",,kickoff:1,
FC:F0B1UNKAR8X:Resources,overview-doc,4,0,0,0,2026-06-05,2026-06-05_file_shares,Emma Noriega,GDocs(2),,
FC:F0BJD4BENS3:Latest Status Report,overview-doc,4,0,0,0,2026-07-21,2026-07-21,Kerri Graber,,,
apex_transfers,client-single,4,0,0,3,2026-01-06,2026-01-06,"Sam P, Ellie Nordin, Sara Dziedzic, Steven Tondi",,,
botanic-innovations-all,client-account,4,0,0,2,2026-03-25,2026-04-08,"Emma Pavleck, Kaitlyn Benson, Sam Kirchoff, Kiley Moore",,,
hp-nerds,noise/internal-ops,4,0,0,0,2026-03-25,2026-07-08,"Morgan May, Sam Kirchoff, James Ernst, Kate Berstene",,,:zap::heart::yellow_heart::blue_heart::green_heart::zap:️
FC:F09EHS2APGR:Resources,overview-doc,3,0,0,0,2026-04-09,2026-04-09_file_shares,Emma Noriega,GDocs(1),,
FC:F09JHF148Q4:Turn Style Overview,overview-doc,3,0,0,0,2025-10-02,2026-06-24,"Christine Maness, Carter S",GDocs(2),,
FC:F09ULUSGSUQ:Channel Overview,overview-doc,3,0,0,0,2025-11-18,2026-03-12,"Alex Samion, Kaitlyn Benson","GDocs(2), Beautiful.ai(1)",,
FC:F0A2XGZ16H3:Gougeon Brothers Overview,overview-doc,3,0,0,0,2025-12-15,2026-01-05,"USLACKBOT, Paige DeRoma",,,
FC:F0ABVCRDS2U:Work Smart IT,overview-doc,3,0,0,0,2026-01-26,2026-02-25,"Paige DeRoma, USLACKBOT",Notion(1),,
delkor-marketing-automation,client-single,3,0,0,0,2026-04-30,2026-04-30,"Paul Patane, Joey Merz",,,
di-labs-project,client-single,3,0,0,0,2026-01-07,2026-07-16,"Courtney Stageberg, Devon Gjebre, Emma Noriega",GDocs(1),,
fireflies-recap-gems,noise/internal-ops,3,0,0,0,2026-04-06,2026-05-06,"Kerri Graber, Sam Kirchoff, Kate Berstene",,,"Fireflies hears all, and understands some, and provides recaps that without context can be posted here. Please be respec"
halloween,noise/internal-ops,3,0,0,0,2026-03-09,2026-05-19,"Jennifer Kohnhorst, James Ernst, Paul Patane",,,For Rocket55 Halloween 2025 programming.
reporting,noise/internal-ops,3,0,0,7,2026-05-18,2026-07-16,"Vinnie, James Ernst",,,
FC:F09HYEJFJRM:Toppan Merrill Overview,overview-doc,2,0,0,0,2026-02-19,2026-02-19_file_shares,Paige DeRoma,GDocs(1),,
FC:F0A86HGJE2V:Important Links,overview-doc,2,0,0,0,2026-04-20,2026-04-20,Brody Howard,,,
FC:F0AHEUL6M6X:Links,overview-doc,2,0,0,0,2026-02-27,2026-02-27_file_shares,Paige DeRoma,GDocs(1),,
blackice,client-single,2,0,0,0,2026-07-20,2026-07-20,Kate Berstene,,,
ecowater-delete,client-single,2,0,0,0,2026-03-20,2026-03-20,Kate Berstene,,,
ed-post-all,client-account,2,0,0,4,2026-03-09,2026-04-08,"Jennifer Kohnhorst, Sam Kirchoff",,,
eti-search,client-single,2,0,0,8,2026-03-09,2026-04-22,"Jennifer Kohnhorst, Rachel Gunderson",,,
fullerton-all,client-account,2,0,0,0,2026-03-25,2026-03-26,"Emma Pavleck, Kaitlyn Benson",,,
hall-of-fame-shame-emails,noise/internal-ops,2,0,0,0,2026-02-10,2026-03-20,Paul Patane,,,Drop your favorite and least favorite emails here. See if the rest of us feel the same as you.
ic-system-web,client-web-build,2,0,0,3,2026-03-09,2026-05-15,"Jennifer Kohnhorst, Benito Speridon",,,
maryland-oncology-hematology-admin,client-admin(internal),2,0,0,2,2026-01-08,2026-01-08,"Rachel Gunderson, Sara Dziedzic",,,
mytech-all,client-account,2,0,0,4,2026-03-09,2026-04-30,"Jennifer Kohnhorst, Heidi Boaz",,,
pride-full,noise/internal-ops,2,0,0,7,2026-01-09,2026-03-09,"Alex Samion, Jennifer Kohnhorst",,,
superatv-all,client-account,2,0,0,0,2026-03-09,2026-05-18,"Jennifer Kohnhorst, Kate Berstene",,,
versare-paid-hubspot-analytics,client-hubspot/MA,2,0,0,1,2026-04-30,2026-05-14,"Heidi Boaz, Zac Forsman",,,
FC:F09DB1FC1K7:Maryland Oncology Hematology Overview,overview-doc,1,0,0,0,2025-11-26,2025-11-26,Paige DeRoma,GDocs(1),,
FC:F09EWTMMNQY:Channel Overview,overview-doc,1,0,0,0,2026-03-12,2026-03-12,Kate Berstene,Figma(1),,
FC:F0A52T0NEH0:TSR Resources,overview-doc,1,0,0,0,2025-12-23,2025-12-23,Paige DeRoma,,,
FC:F0AA4UX1KS7:Helpful Links,overview-doc,1,0,0,0,2026-01-22,2026-01-22,Rachel Gunderson,GDocs(1),,
FC:F0ALF9650S3:Ecoflix Resources,overview-doc,1,0,0,0,2026-03-17,2026-03-17,Kaitlyn Benson,,,
FC:F0B4YJCM7K6:Staging,overview-doc,1,0,0,0,2026-05-19,2026-05-19,Kerri Graber,,,
analytics-questions,noise/internal-ops,1,0,0,0,2026-04-30,2026-04-30,Heidi Boaz,,,
ascend-public-charter-schools,client-single,1,0,0,0,2026-01-09,2026-01-09,SJ Sajwani,,,
beautiful-ai,noise/internal-ops,1,0,0,0,2026-07-08,2026-07-08,Kate Berstene,,,
clients-in-the-wild,noise/internal-ops,1,0,0,0,2026-04-17,2026-04-17,Paul Patane,,,
codabow-all,client-account,1,0,0,0,2026-02-19,2026-02-19,Paul Patane,,,
david-plan-and-stuff,noise/internal-ops,1,0,0,2,2026-05-18,2026-05-18,Nick Wiese,,,
evocharge-all,client-account,1,0,0,0,2026-01-07,2026-01-07,Paul Patane,,,
evocharge-web,client-web-build,1,0,0,0,2026-01-07,2026-01-07,Jasper Tung,,,
franchise-lawyers-web,client-web-build,1,0,0,2,2026-04-30,2026-04-30,Heidi Boaz,,,
gateway-fiber-all,client-account,1,0,0,1,2026-04-08,2026-04-08,Sam Kirchoff,,,
help-1password,noise/internal-ops,1,1,0,9,2026-01-14,2026-05-15,Benito Speridon,,,"This channel is for requesting help with any 1Password migration, setup, or usage issues."
jb-consolidation-web,client-web-build,1,0,0,2,2026-04-30,2026-04-30,Heidi Boaz,,,
johnson-brothers,client-single,1,0,0,1,2026-06-17,2026-06-17,Kerri Graber,,,
joia-spirit-web,client-web-build,1,0,0,2,2026-04-30,2026-04-30,Heidi Boaz,,,
marmon-web,client-web-build,1,0,0,0,2026-04-07,2026-04-07,Kerri Graber,,,
nepsis-web-build,client-web-build,1,0,0,5,2026-03-09,2026-03-09,Jennifer Kohnhorst,,,
nesnah-ventures,client-single,1,0,0,0,2026-02-11,2026-02-11,Paul Patane,,,
new-wave-web,client-web-build,1,0,0,2,2026-06-26,2026-06-26,Tony Notermann,,,
northern-star-scouting,client-single,1,0,0,0,2026-03-26,2026-03-26,Kaitlyn Benson,,,
notion-help,noise/internal-ops,1,0,0,3,2026-05-18,2026-05-18,James Ernst,,,
nura-dev,client-single,1,0,0,0,2026-04-09,2026-04-09,Kerri Graber,,,
onegold,client-single,1,0,0,1,2026-03-09,2026-03-09,Jennifer Kohnhorst,,,
parallax-web,client-web-build,1,0,0,4,2026-03-25,2026-03-25,Mike Voermans,,,
prospect-prospect_hill-hubspot,prospect,1,0,0,1,2026-04-14,2026-04-14,SJ Sajwani,,,
question-the-quo-all,client-account,1,0,0,0,2026-05-11,2026-05-11,Kiley Moore,,,
r55-product-marketing,noise/internal-ops,1,0,0,0,2026-02-19,2026-02-19,Jennifer Kohnhorst,,,
rainylakehouseboats-all,client-account,1,0,0,0,2026-04-24,2026-04-24,Courtney Stageberg,,,
ready-credit-corp,client-single,1,0,0,2,2026-03-09,2026-03-09,Jennifer Kohnhorst,,,
redstar-r55-group-channel,client-single,1,0,0,0,2026-04-24,2026-04-24,Courtney Stageberg,,,
risata-wines-web,client-web-build,1,0,0,1,2026-04-30,2026-04-30,Heidi Boaz,,,
sanderson-multilingual-web,client-web-build,1,0,0,3,2026-03-18,2026-03-18,Mike Voermans,,,
star-blends,client-single,1,0,0,2,2026-04-30,2026-04-30,Heidi Boaz,,,
subassist-all,client-account,1,0,0,2,2026-05-18,2026-05-18,Nick Wiese,,,
tenx-web,client-web-build,1,0,0,1,2026-04-30,2026-04-30,Heidi Boaz,,,
timberwolves,noise/internal-ops,1,0,0,4,2026-05-18,2026-05-18,James Ernst,,,
tricam-web,client-web-build,1,0,0,3,2026-04-01,2026-04-01,Jasper Tung,,,
trio-capital-web,client-web-build,1,0,0,0,2026-01-29,2026-01-29,Kerri Graber,,,
upsell-nepsis-baseintel,upsell,1,0,0,1,2026-03-18,2026-03-18,Mike Voermans,,,
upsell-the_remedy-baseintel,upsell,1,0,0,1,2026-03-18,2026-03-18,Mike Voermans,,,
versare-amazon,client-single,1,0,0,0,2026-01-28,2026-01-28,Carolina Sewald,,,
versare-general,client-single,1,0,0,10,2026-04-15,2026-04-15,Arin Seeger,,,
versare-ma,client-single,1,0,0,0,2026-01-09,2026-01-09,SJ Sajwani,,,
versare-paid,client-single,1,0,0,0,2026-01-09,2026-01-09,SJ Sajwani,,,
versare-sxo-social,client-single,1,0,0,5,2026-03-09,2026-03-09,Jennifer Kohnhorst,,,
versare-web,client-web-build,1,0,0,1,2026-04-30,2026-04-30,Heidi Boaz,,,
voomsonic-all,client-account,1,0,0,0,2026-04-07,2026-04-07,Kerri Graber,,,
web-questions,noise/internal-ops,1,0,0,5,2026-05-18,2026-05-18,Nick Wiese,,,Use this channel to ask the web team any questions about web tasks and tasking
wikipedia,noise/internal-ops,1,0,0,0,2026-02-19,2026-02-19,Paul Patane,,,
1password-alerts,noise/internal-ops,0,26,0,3,2026-01-06,2026-07-21,,,,
1password-notifications,noise/internal-ops,0,15599,0,1,2025-12-31,2026-07-23,,,,
anomaly-detections,noise/internal-ops,0,855,0,3,2026-01-01,2026-07-23,,,,
